nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit,women,men
Dark Lord By Kilian for men,for men, - woody - leather - aromatic - earthy - fresh spicy - animalic - citrus - white floral - green - rum, 34.3459%, 8.71048%, 56.9436%, 100%, 59.9222%, 14.3969%, 34.6304%, 11.284%,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
Eternal Oud By Kilian for women and men,for women and men, - oud - rose - warm spicy - metallic - floral - leather - fresh spicy, 34.5833%, 6.25%, 59.1667%, 100%, 41.6667%, 0%, 19.4444%, 13.8889%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Good Girl Gone Bad Anniversary Edition By Kilian for women,for women, - white floral - floral - yellow floral - tuberose - fruity - amber - woody - green - animalic, 29.2683%, 4.87805%, 65.8537%, 75%, 75%, 0%, 0%, 100%,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Good Girl Gone Bad Eau Fraîche By Kilian for women,for women, - white floral - aquatic - musky - tuberose - fresh - rose - animalic, 43.5913%, 12.322%, 44.0867%, 97.1698%, 100%, 44.3396%, 42.4528%, 9.43396%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Good Girl Gone Bad Extreme By Kilian for women,for women, - white floral - floral - lactonic - tuberose - fruity - yellow floral - green - amber - animalic - soft spicy, 46.1233%, 11.8815%, 41.9952%, 100%, 62.2018%, 15.4128%, 14.8624%, 3.11927%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Kisses Don't Lie By Kilian for women,for women, - rose - sweet - fruity - floral - chocolate - warm spicy - violet - amber - soft spicy - citrus, 50.777%, 27.1562%, 22.0668%, 40.5152%, 100%, 21.0773%, 47.7752%, 2.34192%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
Musk Oud By Kilian for women and men,for women and men, - aromatic - rose - oud - warm spicy - fresh spicy - musky - woody - citrus - herbal - powdery, 42.0555%, 9.92321%, 48.0213%, 100%, 31.5197%, 6.00375%, 11.4447%, 3.37711%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
"Sophie Matisse Art Edition Good Girl Gone Bad, Splash of Neroli By Kilian for women and men",for women and men, - citrus - white floral - woody - aromatic - tuberose - rose - green - floral - earthy - warm spicy, 37.5%, 23.6979%, 38.8021%, 100%, 75.9259%, 3.7037%, 24.0741%, 1.85185%,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0
Voulez-Vous Coucher Avec Moi By Kilian for women and men,for women and men, - white floral - woody - tuberose - yellow floral - vanilla - sweet - rose - powdery - animalic, 46.1741%, 16.2841%, 37.5418%, 88.6513%, 100%, 25.1645%, 34.375%, 5.09868%,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
Scarlett Cacharel for women,for women, - white floral - sweet - fruity - honey - citrus - fresh - green - floral, 33.1018%, 40.199%, 26.6992%, 47.2435%, 100%, 3.97767%, 49.3371%, 0.488486%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Homme de Café Cafe Parfums for men,for men, - woody - citrus - aromatic - musky - powdery - fruity - sweet - warm spicy - fresh spicy, 51.3636%, 17.2727%, 31.3636%, 75.8621%, 100%, 41.3793%, 3.44828%, 6.89655%,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
CK All Calvin Klein for women and men,for women and men, - citrus - white floral - aromatic - floral - green - fruity - fresh spicy - musky, 55.459%, 21.7847%, 22.7563%, 60.7288%, 100%, 21.8623%, 17.274%, 1.61943%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CK Everyone Eau de Toilette Calvin Klein for women and men,for women and men, - aquatic - citrus - fresh - musky - warm spicy - woody - green - powdery - sweet - fresh spicy, 60.3521%, 16.7924%, 22.8555%, 41.203%, 100%, 42.2556%, 29.0226%, 2.55639%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CK One Calvin Klein for women and men,for women and men, - citrus - green - woody - powdery - white floral - fresh - aromatic - fresh spicy - floral - musky, 46.2622%, 44.6475%, 9.09025%, 39.9562%, 100%, 18.141%, 23.7964%, 2.10781%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CK One Chinese New Year Edition Calvin Klein for women and men,for women and men, - citrus - powdery - violet - fresh spicy - green - tropical - fresh - musky - sweet - aromatic, 57.197%, 12.5%, 30.303%, 32.4324%, 100%, 24.3243%, 10.8108%, 5.40541%,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0
CK One Collector Bottle 2008 Calvin Klein for women and men,for women and men, - fresh spicy - powdery - citrus - warm spicy - tropical - musky - green - sweet - aromatic - fresh, 35.3448%, 26.7241%, 37.931%, 31.8182%, 100%, 0%, 18.1818%, 0%,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
CK One Collector's Bottle Calvin Klein for women and men,for women and men, - citrus - woody - green - powdery - amber - musky - aromatic - fresh spicy - warm spicy - floral, 25%, 6.25%, 68.75%, 100%, 100%, 0%, 0%, 0%,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
