nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Luisa Luisa Spagnoli for women,for women, - citrus - woody - white floral - rose - aromatic - powdery - patchouli - musky - warm spicy - fresh spicy, 46.6667%, 15.5556%, 37.7778%, 60%, 100%, 13.3333%, 40%, 0%, 37.5%, 50%, 50%, 75%, 100%, 62.5%
Matcha Meditation Maison Martin Margiela for women and men,for women and men, - white floral - green - sweet - citrus - fresh - fresh spicy - aromatic - chocolate - woody - powdery, 42.1262%, 8.84774%, 49.0261%, 100%, 92.8661%, 49.9374%, 32.2904%, 8.76095%, 25.1012%, 100%, 68.4211%, 47.8745%, 87.4494%, 18.0162%
Vida Loca For Her Mandarina Duck for women,for women, - citrus - vanilla - powdery, 64.7059%, 5.88235%, 29.4118%, 35.7143%, 100%, 32.1429%, 17.8571%, 0%, 13.7931%, 44.8276%, 96.5517%, 24.1379%, 100%, 6.89655%
Private Club for Men Mauboussin for men,for men, - warm spicy - fresh spicy - cinnamon - aromatic - amber - fruity - patchouli - citrus, 50.2801%, 14.0056%, 35.7143%, 100%, 89.7959%, 23.4694%, 22.449%, 5.10204%, 89.4737%, 78.9474%, 25.5639%, 100%, 71.4286%, 89.4737%
Grand Master Mind Games for women and men,for women and men, - amber - warm spicy - rose - woody - floral - smoky - coffee - balsamic - fruity, 28.6996%, 3.43797%, 67.8625%, 100%, 44.4444%, 18.5185%, 6.17284%, 7.40741%, 90.411%, 50.6849%, 17.8082%, 100%, 47.9452%, 91.7808%
Eau Cuivrée Montana for women and men,for women and men, - sweet - vanilla - woody - patchouli - citrus - powdery - white floral - floral - aromatic - warm spicy, 50.7463%, 11.9403%, 37.3134%, 50%, 100%, 10%, 20%, 0%, 100%, 80%, 60%, 100%, 60%, 20%
Spicy Rose NafNaf for women,for women, - rose - musky - fruity - floral - fresh - tropical - fresh spicy - powdery - woody - amber, 11.1111%, 18.5185%, 70.3704%, 100%, 66.6667%, 33.3333%, 66.6667%, 0%, 100%, 66.6667%, 33.3333%, 100%, 66.6667%, 0%
Dark Matcha Neo Cologne for women and men,for women and men, - fruity - citrus - sweet - aromatic - fresh spicy - woody - warm spicy, 9.43396%, 1.88679%, 88.6792%, 33.3333%, 100%, 0%, 0%, 33.3333%, 0%, 50%, 100%, 50%, 100%, 50%
Floratta Cerejeira em Pétalas O Boticário for women,for women, - fruity - woody - fresh - sweet - white floral - soft spicy - aquatic - vanilla - powdery - warm spicy, 31.0277%, 59.0909%, 9.88142%, 75.5319%, 100%, 6.38298%, 48.9362%, 1.06383%, 21.8391%, 81.6092%, 65.5172%, 32.1839%, 100%, 20.6897%
Amazing Paradise Oriflame for women,for women, - fruity - white floral - tropical - ozonic - citrus - musky - fresh - aquatic - floral - sweet, 43.9175%, 29.8969%, 26.1856%, 40.678%, 100%, 12.7119%, 44.0678%, 0.847458%, 5.42636%, 50.3876%, 100%, 14.7287%, 91.4729%, 12.4031%
Athena Bright Breeze Oriflame for women,for women, - marine - aromatic - citrus - powdery - floral - fruity - white floral - musky - salty - fresh spicy, 49.1124%, 32.5444%, 18.3432%, 22%, 100%, 10%, 24%, 2%, 1.96078%, 35.2941%, 100%, 3.92157%, 86.2745%, 11.7647%
Eclat Blanc Oriflame for women,for women, - citrus - sweet - musky - fruity - amber - white floral - powdery - vanilla - rose - soft spicy, 65.0558%, 14.4981%, 20.4461%, 36.5385%, 100%, 25%, 9.61539%, 0%, 90.6977%, 65.1163%, 55.814%, 72.093%, 100%, 48.8372%
Eclat Toujours Oriflame for men,for men, - citrus - aromatic - green - lavender - fresh spicy - leather - iris - powdery - amber - animalic, 52.5641%, 24.359%, 23.0769%, 41.1765%, 100%, 17.6471%, 58.8235%, 11.7647%, 30%, 95%, 70%, 35%, 100%, 35%
Giordani Gold Woman Eau de Parfum Oriflame for women,for women, - white floral - citrus - musky - earthy - mossy - patchouli, 67.2515%, 11.6959%, 21.0526%, 35.2941%, 100%, 20.5882%, 5.88235%, 0%, 53.125%, 81.25%, 40.625%, 100%, 96.875%, 62.5%
Glacier Rock Oriflame for men,for men, - citrus - fresh - fresh spicy, 58.4906%, 24.5283%, 16.9811%, 13.7931%, 100%, 20.6897%, 27.5862%, 10.3448%, 5.88235%, 61.7647%, 94.1176%, 11.7647%, 100%, 11.7647%
Grace Oriflame for women,for women, - powdery - violet - warm spicy - floral - white floral - musky - woody - fresh spicy - aromatic - vanilla, 28.3697%, 52.76%, 18.8703%, 37.2385%, 100%, 6.27615%, 33.0544%, 0%, 43.1373%, 84.3137%, 44.4444%, 66.0131%, 100%, 48.366%
M by Marcel Marongiu Oriflame for women,for women, - amber - rose - sweet - smoky - warm spicy - patchouli - balsamic - leather - powdery - woody, 44.0476%, 27.8196%, 28.1328%, 82.3529%, 100%, 2.30179%, 39.6419%, 0.511509%, 92.5676%, 26.0135%, 14.1892%, 100%, 58.446%, 87.5%
