nom,genre,composantes,je_l_ai,je_l_avais,je_le_veux,j_adore,j_aime,bon,aime_pas,deteste,hiver,printemps,ete,autone,jour,nuit
Signature Zoom Oriflame for men,for men, - citrus - leather - smoky - woody - patchouli - warm spicy - earthy - fruity, 40.678%, 38.9831%, 20.339%, 91.6667%, 91.6667%, 16.6667%, 100%, 0%, 15%, 100%, 75%, 20%, 90%, 20%
Ultimate Oriflame for men,for men, - woody - aromatic - fresh spicy - sand - salty - amber - soft spicy - citrus - warm spicy - smoky, 32.381%, 22.8571%, 44.7619%, 53.3333%, 100%, 0%, 23.3333%, 0%, 30.4348%, 91.3044%, 47.8261%, 73.913%, 100%, 47.8261%
Very Me New York Oriflame for women,for women, - fruity - sweet - fresh - green, 26.3636%, 38.1818%, 35.4545%, 29.4118%, 100%, 0%, 94.1176%, 0%, 5.88235%, 88.2353%, 58.8235%, 35.2941%, 100%, 5.88235%
VIP Only Oriflame for women,for women, - fruity - sweet - woody - vanilla - white floral - floral, 37.5839%, 43.9597%, 18.4564%, 33.7838%, 100%, 14.8649%, 64.8649%, 0%, 64.9123%, 75.4386%, 49.1228%, 59.6491%, 100%, 57.8947%
Columbine Parfums Ciro for women and men,for women and men, - citrus - powdery - floral - musky - aromatic - iris - vanilla - fruity - sweet - fresh spicy, 36.8132%, 8.24176%, 54.9451%, 100%, 91.3044%, 34.7826%, 26.087%, 0%, 60.8696%, 73.913%, 30.4348%, 100%, 69.5652%, 69.5652%
Floveris Parfums Ciro for women and men,for women and men, - floral - citrus - rose - fresh - powdery - musky - yellow floral - sweet, 49.0909%, 15.4545%, 35.4545%, 59.0909%, 100%, 22.7273%, 77.2727%, 0%, 15%, 100%, 70%, 40%, 100%, 15%
Le Chypre Du Nil Parfums Ciro for women and men,for women and men, - rose - fresh spicy - citrus - aromatic - woody - patchouli - fruity - balsamic - floral - powdery, 32.243%, 9.81309%, 57.9439%, 81.3954%, 100%, 18.6047%, 16.2791%, 4.65116%, 40.9091%, 100%, 54.5455%, 86.3636%, 90.9091%, 45.4545%
Ptah Parfums Ciro for women and men,for women and men, - aromatic - fresh spicy - herbal - warm spicy - amber - smoky - vanilla - balsamic - leather - citrus, 32.8358%, 11.194%, 55.9702%, 90.3226%, 100%, 22.5806%, 29.0323%, 3.22581%, 60.8696%, 86.9565%, 43.4783%, 100%, 86.9565%, 39.1304%
Bloodflower Parfums Quartana for women and men,for women and men, - soft spicy - anis - floral - sweet - patchouli - rose - amber - woody - green - earthy, 29.9517%, 7.72947%, 62.3188%, 100%, 93.5484%, 22.5806%, 90.3226%, 25.8065%, 65.5172%, 55.1724%, 41.3793%, 100%, 48.2759%, 89.6552%
Musc Satin Repetto for women,for women, - floral - rose - citrus - soft spicy, 16.6667%, 0%, 83.3333%, 0%, 0%, 100%, 0%, 0%, 50%, 50%, 0%, 100%, 50%, 50%
Ma Flamme Salvador Dali for women,for women, - amber - aromatic - musky - rose - bitter - leather - herbal - soft spicy - powdery - citrus, 22.973%, 10.8108%, 66.2162%, 100%, 100%, 16.6667%, 0%, 8.33333%, 64.2857%, 42.8571%, 21.4286%, 100%, 85.7143%, 64.2857%
Bianco di Carrara Salvatore Ferragamo for women and men,for women and men, - powdery - violet - musky - fresh spicy - floral - vanilla - iris - amber - citrus - leather, 22.6027%, 7.53425%, 69.863%, 100%, 93.3333%, 40%, 20%, 0%, 50%, 87.5%, 43.75%, 100%, 93.75%, 25%
Bianco di Carrara Limited Edition 2019 Salvatore Ferragamo for women and men,for women and men, - powdery - musky - floral - woody - violet - fresh spicy - oud - citrus - leather - iris, 10.9091%, 1.81818%, 87.2727%, 100%, 80%, 0%, 0%, 0%, 80%, 80%, 40%, 100%, 100%, 60%
With Style Sergio Tacchini for men,for men, - aromatic - woody - amber - citrus - fruity - musky - powdery - fresh spicy - soft spicy - lavender, 42.623%, 29.5082%, 27.8689%, 7.40741%, 100%, 22.2222%, 25.9259%, 0%, 7.69231%, 88.4615%, 73.0769%, 61.5385%, 100%, 19.2308%
Hero Symrise for women and men,for women and men, - woody - powdery - vanilla - citrus - aromatic - iris - warm spicy - green - earthy - floral, 6.66667%, 0%, 93.3333%, 100%, 50%, 0%, 50%, 0%, 25%, 100%, 50%, 50%, 100%, 50%
Black Soul Ted Lapidus for men,for men, - warm spicy - amber - woody - powdery - cinnamon - aromatic - balsamic - green - musky - citrus, 46.1056%, 23.4557%, 30.4387%, 62.0253%, 100%, 10.1266%, 33.7553%, 3.79747%, 91.5556%, 29.7778%, 9.33333%, 90.2222%, 36%, 100%
White Soul Ted Lapidus for women,for women, - amber - vanilla - warm spicy - sweet - powdery - fruity - balsamic - aromatic, 42.0118%, 20.3402%, 37.6479%, 68.9076%, 100%, 11.3445%, 40.3361%, 2.52101%, 98.1366%, 47.205%, 27.9503%, 100%, 98.1366%, 68.9441%
Bohemian Infusion Thameen for women and men,for women and men, - aromatic - warm spicy - amber - citrus - herbal - fresh spicy - woody - patchouli - musky - fruity, 24.1935%, 5.48387%, 70.3226%, 50%, 100%, 73.0769%, 23.0769%, 11.5385%, 16.6667%, 95.8333%, 83.3333%, 66.6667%, 100%, 41.6667%
Insignia Thameen for women and men,for women and men, - woody - aromatic - fresh spicy - whiskey - warm spicy - citrus - fruity - powdery, 26.0377%, 6.79245%, 67.1698%, 100%, 84.8485%, 51.5152%, 15.1515%, 6.06061%, 81.25%, 68.75%, 28.125%, 100%, 68.75%, 46.875%
SO ± Satin UERMI for women and men,for women and men, - citrus - warm spicy - fresh spicy - herbal - aromatic - white floral, 17.6471%, 8.82353%, 73.5294%, 23.0769%, 100%, 0%, 7.69231%, 0%, 25%, 62.5%, 100%, 75%, 100%, 50%
UR ± Silk 19 UERMI for women and men,for women and men, - woody - fruity - sweet - green - white floral - powdery - iris - aromatic - fresh - earthy, 28.9474%, 5.26316%, 65.7895%, 100%, 83.3333%, 8.33333%, 0%, 0%, 9.09091%, 90.9091%, 90.9091%, 72.7273%, 100%, 27.2727%
Dream Angels Blush Eau de Parfum Victoria's Secret for women,for women, - floral - fruity - sweet - aquatic - woody - ozonic - marine - fresh, 45.6522%, 20.2899%, 34.058%, 43.2432%, 100%, 2.7027%, 16.2162%, 0%, 30%, 85%, 85%, 45%, 100%, 60%
Wish Pink Diamond Chopard for women,for women, - floral - rose - fruity - citrus - powdery - sweet - musky - fresh, 40.3936%, 29.3346%, 30.2718%, 36.2573%, 100%, 12.8655%, 46.7836%, 0%, 12.5926%, 76.2963%, 59.2593%, 21.4815%, 100%, 11.8519%
Ferre Rose Gianfranco Ferre for women,for women, - rose - floral - aquatic - ozonic - fruity - woody - white floral - citrus - sweet - fresh spicy, 35.6375%, 35.5863%, 28.7762%, 34.9272%, 100%, 6.23701%, 26.6112%, 0.4158%, 12.9747%, 83.5443%, 71.8354%, 23.1013%, 100%, 10.7595%
Ferre Rose Diamond Limited Edition Gianfranco Ferre for women,for women, - rose - floral - citrus - fruity - white floral - ozonic - aquatic - woody - powdery - sweet, 18.9873%, 29.7468%, 51.2658%, 40.625%, 100%, 0%, 18.75%, 0%, 3.57143%, 96.4286%, 50%, 17.8571%, 100%, 17.8571%
Balmya de Balmain Pierre Balmain for women,for women, - coffee - powdery - musky - woody - amber - sweet - iris - warm spicy - vanilla - soft spicy, 33.8766%, 32.7125%, 33.4109%, 37.7359%, 100%, 9.43396%, 43.3962%, 0.628931%, 38.8889%, 58.8889%, 57.7778%, 75.5556%, 100%, 37.7778%
4711 Acqua Colonia Blood Orange & Basil 4711 for women and men,for women and men, - citrus - fresh spicy - aromatic - green - herbal, 50.0336%, 15.2656%, 34.7007%, 56.3636%, 100%, 13.7374%, 9.49495%, 1.0101%, 11.7381%, 61.1738%, 100%, 20.7675%, 87.1332%, 8.80361%
4711 Acqua Colonia Lemon & Ginger 4711 for women and men,for women and men, - citrus - warm spicy - fresh - aromatic, 49.8818%, 16.7849%, 33.3333%, 35.1779%, 100%, 13.834%, 29.249%, 3.16206%, 6%, 50.5%, 100%, 15%, 94%, 6.5%
4711 Acqua Colonia Myrrh & Kumquat 4711 for women and men,for women and men, - amber - citrus - aromatic - sweet - warm spicy - balsamic - fresh, 52.2996%, 10.9067%, 36.7937%, 92.7711%, 100%, 36.1446%, 8.43374%, 1.20482%, 50%, 100%, 86.9048%, 100%, 98.8095%, 41.6667%
4711 Acqua Colonia Saffron & Iris 4711 for women and men,for women and men, - iris - warm spicy - powdery - violet - earthy - metallic - leather - tobacco, 45.7627%, 12.8814%, 41.3559%, 49.3827%, 100%, 25.9259%, 13.5802%, 1.23457%, 28.8136%, 91.5254%, 94.9153%, 83.0509%, 100%, 38.9831%
4711 Jasmine Eau de Cologne 4711 for women and men,for women and men, - white floral - citrus - fresh spicy - fresh - floral - green - aromatic - woody - musky, 51.3841%, 8.47751%, 40.1384%, 64.7059%, 100%, 11.7647%, 3.52941%, 2.35294%, 16.6667%, 98.8889%, 86.6667%, 32.2222%, 100%, 25.5556%
4711 Lilac Eau de Cologne 4711 for women and men,for women and men, - floral - musky - powdery - fresh - woody - green, 44.6064%, 9.91254%, 45.4811%, 55.1282%, 100%, 30.7692%, 25.641%, 3.84615%, 32.3944%, 100%, 67.6056%, 53.5211%, 94.3662%, 32.3944%
4711 Remix Cologne Anniversary Edition 4711 for women and men,for women and men, - citrus - aromatic - fresh spicy - lavender - woody, 39.2045%, 9.65909%, 51.1364%, 76.6667%, 100%, 3.33333%, 20%, 0%, 6.25%, 53.125%, 100%, 6.25%, 96.875%, 12.5%
4711 Rose Eau de Cologne 4711 for women and men,for women and men, - rose - floral - citrus - powdery - musky - woody - green - violet - fresh spicy, 47.1239%, 11.0619%, 41.8142%, 39.3939%, 100%, 36.3636%, 12.1212%, 1.51515%, 15%, 93.3333%, 80%, 33.3333%, 100%, 18.3333%
Signature Eau Fraiche Otto Kern for men,for men, - vanilla - aromatic - sweet - amber - lavender - citrus - warm spicy - fruity - powdery - green, 0%, 11.1111%, 88.8889%, 0%, 100%, 0%, 0%, 0%, 50%, 100%, 100%, 50%, 100%, 50%
Essence of United Colors of Benetton Woman Benetton for women,for women, - citrus - woody - floral - patchouli - fruity - earthy - sweet - aromatic - fresh spicy - powdery, 34.1549%, 44.3662%, 21.4789%, 23.6111%, 100%, 2.77778%, 38.8889%, 2.77778%, 26.7857%, 53.5714%, 48.2143%, 48.2143%, 100%, 14.2857%
Oud Violet Intense Fragrance Du Bois for women and men,for women and men, - fresh spicy - amber - citrus - aromatic - warm spicy - balsamic - oud - musky - vanilla - powdery, 36.3636%, 9.09091%, 54.5455%, 100%, 37.9747%, 11.3924%, 17.7215%, 0%, 73.8095%, 80.9524%, 57.1429%, 100%, 71.4286%, 71.4286%
French Waltz Golf Le Fleur for women and men,for women and men, - floral - powdery - musky - rose - fruity - white floral - woody - citrus - aquatic - fresh, 27.733%, 4.25777%, 68.0092%, 100%, 56.701%, 16.4948%, 4.12371%, 10.3093%, 11.7647%, 78.9916%, 100%, 20.1681%, 82.3529%, 16.8067%
Secrets de Hammam ID Parfums for women,for women, - woody - citrus - sweet - amber - white floral - soft spicy - yellow floral - powdery - warm spicy - musky, 41.4474%, 31.9079%, 26.6447%, 59.322%, 100%, 1.69492%, 44.0678%, 0%, 58.3333%, 61.1111%, 55.5556%, 94.4444%, 100%, 80.5556%
Secrets de Volupte ID Parfums for women,for women, - floral - fruity - citrus - sweet - aquatic - musky - woody - powdery - fresh - white floral, 50.8876%, 43.787%, 5.32544%, 20.3884%, 100%, 3.8835%, 40.7767%, 0%, 15.2778%, 54.1667%, 61.1111%, 51.3889%, 100%, 6.94444%
Absolute Aphrodisiac Initio Parfums Prives for women and men,for women and men, - vanilla - leather - amber - powdery - musky - animalic - smoky - sweet, 37.3395%, 8.05865%, 54.6019%, 100%, 50.4608%, 14.9002%, 12.596%, 2.91859%, 100%, 30.7996%, 13.6229%, 93.4847%, 44.5212%, 88.6476%
L'Eau par Kenzo Colors pour Homme Kenzo for men,for men, - aromatic - citrus - warm spicy - green - herbal - soft spicy - fresh spicy - woody - fresh, 40.5983%, 39.3162%, 20.0855%, 40.2985%, 100%, 17.9104%, 35.8209%, 0%, 3.50877%, 85.9649%, 100%, 14.0351%, 94.7369%, 12.2807%
Couture Kylie Minogue for women,for women, - powdery - violet - sweet - cherry - woody - vanilla - floral - white floral - yellow floral - musky, 39.1011%, 39.3258%, 21.573%, 35.8974%, 100%, 8.54701%, 53.8462%, 0%, 58.6667%, 36%, 24%, 77.3333%, 100%, 38.6667%
Toy Moschino for women and men,for women and men, - aromatic - woody - fresh spicy - warm spicy - powdery - citrus - lavender - floral - violet - mossy, 27.8932%, 7.51731%, 64.5895%, 59.4828%, 100%, 6.89655%, 75.8621%, 4.31034%, 25.9259%, 61.7284%, 70.3704%, 56.7901%, 100%, 34.5679%
Esquenta Natura for men,for men, - woody - warm spicy - vanilla - sweet - fruity - fresh spicy - aromatic - whiskey - rum - powdery, 37.247%, 38.8664%, 23.8866%, 42.4242%, 100%, 6.06061%, 9.09091%, 0%, 77.7778%, 49.2064%, 17.4603%, 84.127%, 41.2698%, 100%
Ilía Natura for women,for women, - white floral - citrus - floral - fruity - sweet - vanilla - fresh - rose - soft spicy - powdery, 57.0802%, 21.6594%, 21.2605%, 100%, 99.169%, 18.0055%, 16.6205%, 1.93906%, 39.3736%, 90.604%, 61.9687%, 66.6667%, 100%, 51.9016%
Sussurro Natura for women,for women, - caramel - warm spicy - amber - cinnamon - sweet - fresh spicy - coffee - woody - fresh - white floral, 30.8081%, 48.4848%, 20.7071%, 62%, 100%, 6%, 16%, 0%, 84.6154%, 61.5385%, 23.0769%, 87.1795%, 100%, 58.9744%
Playboy #generation FOR HIM Playboy for men,for men, - vanilla - sweet - warm spicy - fruity - cinnamon - amber - leather - woody - aromatic - powdery, 47.8873%, 29.108%, 23.0047%, 37.2549%, 100%, 9.80392%, 13.7255%, 1.96078%, 73.6842%, 84.2105%, 42.1053%, 92.1053%, 89.4737%, 100%
Brun Sicilien Scent on Canvas for women and men,for women and men, - leather - powdery - smoky - musky - vanilla - animalic - warm spicy - woody, 10%, 6.66667%, 83.3333%, 57.1429%, 100%, 0%, 57.1429%, 0%, 37.5%, 37.5%, 25%, 100%, 100%, 37.5%
Six Scents Series Two 6 Toga: Whiskey Caramelise Six Scents for women and men,for women and men, - fruity - citrus - patchouli - woody - fresh spicy - warm spicy - earthy - sweet - ozonic - floral, 18.1818%, 12.7273%, 69.0909%, 100%, 85.7143%, 0%, 0%, 0%, 33.3333%, 33.3333%, 33.3333%, 66.6667%, 33.3333%, 100%
Blue Land Trussardi for men,for men, - aromatic - marine - woody - citrus - earthy - fresh - musky - lavender - leather - fruity, 38.6582%, 26.5176%, 34.8243%, 47.5676%, 100%, 12.4324%, 15.6757%, 0.540541%, 5.67376%, 75.8865%, 100%, 27.6596%, 92.9078%, 18.4397%
Ode to Marrakesh Yu Parfums for women and men,for women and men, - warm spicy - amber - aromatic - musky - sand - metallic - leather, 0%, 0%, 100%, 0%, 0%, 100%, 0%, 0%, 100%, 0%, 0%, 100%, 100%, 100%
Ubud Retreat Yu Parfums for women and men,for women and men, - amber - powdery - warm spicy - citrus - white floral - patchouli - iris - yellow floral - soft spicy - earthy, 0%, 0%, 100%, 0%, 100%, 0%, 100%, 0%, 50%, 0%, 0%, 50%, 100%, 50%
4711 Acqua Colonia Bamboo & Watermelon 4711 for women and men,for women and men, - ozonic - aquatic - woody - earthy, 40.1869%, 10.2804%, 49.5327%, 39.3939%, 100%, 45.4545%, 27.2727%, 9.09091%, 0%, 36.5854%, 100%, 4.87805%, 68.2927%, 7.31707%
4711 Acqua Colonia White Peach & Coriander 4711 for women and men,for women and men, - fruity - citrus - green - aromatic - soft spicy - sweet - fresh - herbal - powdery, 53.4551%, 16.8388%, 29.7061%, 42.9379%, 100%, 31.0734%, 25.4237%, 3.38983%, 8.9172%, 78.344%, 100%, 20.3822%, 88.535%, 9.55414%
4711 Remix Cologne Sparkling Island Edition 2023 4711 for women,for women, - citrus - woody - sweet - green - fruity, 40.5405%, 3.6036%, 55.8559%, 38.4615%, 100%, 15.3846%, 11.5385%, 0%, 8.69565%, 52.1739%, 100%, 13.0435%, 86.9565%, 8.69565%
Noble Rose 4711 for women and men,for women and men, - woody - rose - sweet - citrus - fruity - musky - powdery - floral - aromatic - fresh spicy, 8.10811%, 0%, 91.8919%, 0%, 0%, 0%, 100%, 0%, 100%, 0%, 0%, 100%, 50%, 100%
Vibrant Musk 4711 for women and men,for women and men, - musky - woody - amber - fresh spicy - powdery, 4.54545%, 0%, 95.4545%, 100%, 100%, 0%, 0%, 0%, 100%, 100%, 50%, 100%, 100%, 100%
PARIS: She met him in secret Anthropologie for women,for women, - iris - leather - powdery - violet - animalic - earthy - ozonic - smoky - aquatic, 31.6667%, 10%, 58.3333%, 75%, 100%, 0%, 16.6667%, 0%, 60%, 60%, 40%, 80%, 100%, 80%
Tucson Astier de Villatte for women and men,for women and men, - amber - herbal - sweet - leather - aromatic - woody - warm spicy - musky - smoky - fresh spicy, 32.9545%, 7.95455%, 59.0909%, 85%, 100%, 20%, 5%, 0%, 92.8571%, 35.7143%, 42.8571%, 92.8571%, 85.7143%, 100%
Sisterland Yellow Peony Benetton for women,for women, - citrus - sweet - floral - fruity - fresh - rose - woody - white floral - amber - musky, 43.2584%, 1.68539%, 55.0562%, 100%, 94.4444%, 11.1111%, 22.2222%, 0%, 16.6667%, 87.5%, 75%, 54.1667%, 100%, 25%
Blauer UN1T3D States Woman Blauer for women,for women, - vanilla - caramel - citrus - fruity - sweet - powdery - floral - woody - balsamic - soft spicy, 48.5714%, 2.85714%, 48.5714%, 66.6667%, 100%, 50%, 50%, 0%, 100%, 40%, 20%, 100%, 80%, 80%
"101 rose, sweet pea, white cedar Bon Parfumeur for women and men",for women and men, - rose - floral - white floral - woody - warm spicy - musky - patchouli - aromatic - citrus - fresh, 43.6137%, 13.7072%, 42.6791%, 55.1724%, 100%, 39.6552%, 15.5172%, 3.44828%, 17.0213%, 100%, 53.1915%, 44.6809%, 95.7447%, 36.1702%
Purple Braccialini for women,for women, - fruity - white floral - sweet - citrus - woody - amber - yellow floral - vanilla - floral - aromatic, 33.3333%, 14.4928%, 52.1739%, 11.1111%, 100%, 5.55556%, 5.55556%, 0%, 60%, 50%, 40%, 80%, 100%, 50%
Alegria de Vivir Carolina Herrera for women,for women, - rose - floral - fresh - citrus - fruity - tropical - woody - savory, 9.91379%, 3.01724%, 87.069%, 90%, 100%, 70%, 10%, 40%, 30%, 100%, 100%, 40%, 90%, 30%
Rummo Explorer Eudora for men,for men, - aromatic - warm spicy - fresh spicy - citrus - amber - woody - mineral - balsamic - earthy, 45.8333%, 20.8333%, 33.3333%, 22.2222%, 100%, 44.4444%, 55.5556%, 0%, 23.0769%, 100%, 76.9231%, 84.6154%, 100%, 76.9231%
Bois Secret Evody Parfums for men,for men, - fresh spicy - amber - woody - warm spicy - vanilla - powdery - aromatic - patchouli - citrus - sweet, 39.1753%, 19.5876%, 41.2371%, 52.5641%, 100%, 10.2564%, 20.5128%, 0%, 65.7895%, 39.4737%, 23.6842%, 100%, 65.7895%, 63.1579%
Cuir Blanc Evody Parfums for women and men,for women and men, - leather - powdery - musky - animalic - iris - warm spicy - ozonic - metallic - smoky - aquatic, 35.0909%, 21.1818%, 43.7273%, 72.093%, 100%, 7.44186%, 14.8837%, 0.465116%, 56.5574%, 66.3934%, 17.2131%, 100%, 83.6066%, 57.377%
Fruit de La Créativité Grès for women and men,for women and men, - leather - rose - fruity - warm spicy - sweet - animalic - woody - powdery - metallic - iris, 59.9668%, 9.13621%, 30.897%, 84.8101%, 100%, 22.7848%, 10.1266%, 3.79747%, 70.5263%, 65.2632%, 22.1053%, 100%, 77.8947%, 66.3158%
A Floral Verse Gucci for women and men,for women and men, - white floral - green - musky - floral - fresh - powdery, 20%, 4.16667%, 75.8333%, 100%, 60%, 50%, 5%, 10%, 60%, 100%, 55%, 85%, 95%, 65%
Pure Lemon Hej:Pure for women and men,for women and men, - citrus - aromatic, 10.2564%, 0%, 89.7436%, 0%, 100%, 0%, 0%, 0%, 0%, 33.3333%, 100%, 0%, 100%, 0%
Jaguar Classic Electric Sky Jaguar for men,for men, - fresh spicy - aromatic - citrus - ozonic - amber - woody - aquatic - lavender - mossy - herbal, 56.1086%, 14.0272%, 29.8643%, 40%, 100%, 60%, 12.5%, 5%, 20%, 100%, 81.6667%, 46.6667%, 85%, 25%
Jaguar Pace Jaguar for men,for men, - fresh spicy - woody - aromatic - warm spicy - lavender - earthy - iris - amber - fruity - patchouli, 56.8399%, 17.3735%, 25.7866%, 34.2657%, 100%, 21.6783%, 15.035%, 3.14685%, 26.2774%, 97.4453%, 97.4453%, 59.4891%, 100%, 27.3723%
Jaguar Signature of Excellence Jaguar for men,for men, - fresh spicy - citrus - woody - aromatic - musky - amber - powdery - green, 44.1177%, 17.6471%, 38.2353%, 85.7143%, 100%, 0%, 0%, 14.2857%, 90.9091%, 81.8182%, 27.2727%, 100%, 72.7273%, 81.8182%
L'Eau Kenzo Pour Homme Hyper Wave Kenzo for men,for men, - marine - citrus - mossy - aromatic - earthy - salty - aquatic - woody, 43.8424%, 25.2874%, 30.8703%, 76.7123%, 100%, 39.726%, 23.2877%, 4.10959%, 7.89474%, 61.4035%, 100%, 17.5439%, 76.3158%, 7.89474%
Lily Koto Parfums for women,for women, - sweet - fruity - rose - floral - vanilla - musky - powdery - yellow floral - fresh - savory, 24.3243%, 14.4144%, 61.2613%, 78.5714%, 100%, 7.14286%, 21.4286%, 0%, 27.2727%, 100%, 45.4545%, 45.4545%, 100%, 27.2727%
Eau de Lacoste L.12.12 Sparkling Collector Edition Pour Femme x Jeremyville Lacoste Fragrances for women,for women, - sweet - citrus - almond - green - fruity - vanilla - floral - patchouli - aromatic, 46.1207%, 29.7414%, 24.1379%, 35.1351%, 100%, 51.3514%, 51.3514%, 5.40541%, 19.0476%, 66.6667%, 80.9524%, 19.0476%, 100%, 14.2857%
Soleil Lalique for women,for women, - sweet - fruity - lactonic - warm spicy - citrus - almond - nutty - caramel - coffee - white floral, 48.2409%, 12.9354%, 38.8237%, 57.559%, 100%, 38.0028%, 33.0097%, 4.99307%, 35.355%, 85.355%, 79.7337%, 65.3846%, 100%, 24.7041%
Soleil Crystal Edition Extrait de Parfum Lalique for women,for women, - warm spicy - sweet - woody - fruity - powdery - lactonic - musky - white floral - aromatic - citrus, 6.45161%, 2.15054%, 91.3979%, 100%, 80%, 80%, 0%, 0%, 80%, 100%, 40%, 80%, 100%, 40%
Soleil Hair Mist Lalique for women,for women, - warm spicy - white floral - fruity - woody - powdery - musky - citrus - sweet - aromatic - coffee, 21.2121%, 1.51515%, 77.2727%, 0%, 100%, 0%, 0%, 33.3333%, 100%, 100%, 100%, 100%, 100%, 100%
Soleil Vibrant Lalique for women,for women, - citrus - vanilla - sweet - white floral - fruity - warm spicy - powdery - fresh - floral, 37.0183%, 5.17241%, 57.8093%, 58.2677%, 100%, 27.5591%, 18.8976%, 2.3622%, 52.7473%, 80.2198%, 86.8132%, 84.6154%, 100%, 40.6593%
Athena Aaron Terence Hughes for women and men,for women and men, - cherry - woody - warm spicy - chocolate - sweet - cacao - powdery, 21.2766%, 1.06383%, 77.6596%, 100%, 27.2727%, 9.09091%, 90.9091%, 45.4545%, 60%, 40%, 80%, 60%, 100%, 60%
Blood Orange Aaron Terence Hughes for women and men,for women and men, - citrus - musky - powdery - fruity, 61.204%, 12.3746%, 26.4214%, 100%, 43.75%, 18.75%, 23.4375%, 9.375%, 13.1148%, 96.7213%, 100%, 45.9016%, 95.082%, 37.7049%
Carbon Aaron Terence Hughes for women and men,for women and men, - musky - powdery - animalic - white floral - amber - woody - citrus - vanilla, 43.1655%, 6.47482%, 50.3597%, 100%, 40%, 16.6667%, 3.33333%, 10%, 76.4706%, 97.0588%, 94.1176%, 91.1765%, 100%, 88.2353%
